time,rssi
1627768620.645,-84
1627768620.645,-87
1627768848.176,-55
1627768848.176,-60
1627768848.176,-65
1627768848.176,-67
1627768848.176,-74
1627768848.176,-75
1627768848.176,-82
1627768848.176,-85
1627768887.692,-56
1627768887.692,-57
1627768887.692,-61
1627768887.692,-71
1627768887.692,-74
1627768887.692,-74
1627768887.692,-75
1627768887.692,-83
1627768927.698,-57
1627768927.698,-58
1627768927.698,-62
1627768927.698,-71
1627768927.698,-71
1627768927.698,-72
1627768927.698,-74
1627768927.698,-81
1627768927.698,-83
1627769027.019,-54
1627769027.019,-55
1627769027.019,-55
1627769027.019,-57
1627769027.019,-64
1627769027.019,-68
1627769027.019,-68
1627769027.019,-72
1627769027.019,-75
1627769027.019,-76
1627769027.019,-79
1627769027.019,-81
1627769027.019,-81
1627769027.019,-81
1627769027.019,-83
1627769049.038,-53
1627769049.038,-66
1627769049.038,-73
1627769049.038,-79
1627769049.038,-81
1627769116.801,-55
1627769116.801,-56
1627769116.801,-61
1627769116.801,-63
1627769116.801,-66
1627769116.801,-67
1627769116.801,-71
1627769116.801,-74
1627769116.801,-74
1627769116.801,-76
1627769116.801,-76
1627769116.801,-79
1627769369.957,-55
1627769369.957,-57
1627769369.957,-64
1627769369.957,-67
1627769369.957,-76
1627769369.957,-80
1627769449.25,-59
1627769449.25,-61
1627769449.25,-61
1627769449.25,-76
1627769449.25,-78
1627769449.25,-80
1627769449.25,-81
1627769449.25,-82
1627769449.25,-86
1627769711.971,-53
1627769711.971,-56
1627769711.971,-61
1627769711.971,-68
1627769711.971,-72
1627769711.971,-74
1627769711.971,-74
1627769711.971,-76
1627769711.971,-81
1627769711.971,-84
1627769725.823,-55
1627769725.823,-56
1627769725.823,-58
1627769725.823,-58
1627769725.823,-74
1627769725.823,-75
1627769725.823,-76
1627769725.823,-76
1627769725.823,-78
1627769725.823,-79
1627769725.823,-79
1627769725.823,-79
1627769725.823,-83
1627769725.823,-84
1627769748.149,-54
1627769748.149,-58
1627769748.149,-59
1627769748.149,-64
1627769748.149,-65
1627769748.149,-66
1627769748.149,-72
1627769748.149,-78
1627769748.149,-78
1627769748.149,-86
1627769781.882,-51
1627769781.882,-52
1627769781.882,-53
1627769781.882,-64
1627769781.882,-64
1627769781.882,-67
1627769781.882,-72
1627769781.882,-74
1627769781.882,-78
1627769781.882,-78
1627769781.882,-81
1627769781.882,-82
1627769781.882,-85
1627770277.523,-51
1627770277.523,-51
1627770277.523,-64
1627770277.523,-68
1627770277.523,-69
1627770277.523,-72
1627770277.523,-74
1627770277.523,-78
1627770277.523,-80
1627770277.523,-80
1627770277.523,-81
1627770277.523,-81
1627770277.523,-81
1627770693.58,-52
1627770693.58,-69
1627770693.58,-72
1627770693.58,-73
1627770693.58,-79
1627770693.58,-80
1627770693.58,-81
1627770693.58,-82
1627771179.337,-46
1627771179.337,-50
1627771179.337,-53
1627771179.337,-68
1627771179.337,-72
1627771179.337,-73
1627771179.337,-76
1627771179.337,-78
1627771179.337,-79
1627771179.337,-80
1627771179.337,-81
1627771179.337,-82
1627771526.484,-47
1627771526.484,-49
1627771526.484,-50
1627771526.484,-53
1627771526.484,-67
1627771526.484,-71
1627771526.484,-75
1627771526.484,-77
1627771526.484,-78
1627771526.484,-79
1627771526.484,-80
1627771526.484,-81
1627772012.748,-48
1627772012.748,-49
1627772012.748,-53
1627772012.748,-67
1627772012.748,-70
1627772012.748,-72
1627772012.748,-72
1627772012.748,-78
1627772012.748,-79
1627772012.748,-79
1627772012.748,-80
1627772012.748,-82
1627772012.748,-82
1627772678.707,-47
1627772678.707,-48
1627772678.707,-48
1627772678.707,-52
1627772678.707,-52
1627772678.707,-67
1627772678.707,-72
1627772678.707,-73
1627772678.707,-73
1627772678.707,-75
1627772678.707,-78
1627772678.707,-79
1627772678.707,-80
1627772678.707,-80
1627772678.707,-82
1627772713.646,-46
1627772713.646,-48
1627772713.646,-48
1627772713.646,-52
1627772713.646,-68
1627772713.646,-72
1627772713.646,-77
1627772713.646,-80
1627772713.646,-80
1627772713.646,-82
1627772713.646,-82
1627773171.5,-47
1627773171.5,-47
1627773171.5,-48
1627773171.5,-52
1627773171.5,-68
1627773171.5,-69
1627773171.5,-71
1627773171.5,-71
1627773171.5,-74
1627773171.5,-76
1627773171.5,-79
1627773171.5,-81
