time,battery_level
1627922173.91,20
1627922246.06,19
1627922304.798,18
1627922411.022,17
1627922507.495,16
1627922661.371,15
1627922779.211,14
1627922904.498,13
1627923022.34,12
1627923141.7,11
1627923265.524,10
1627923387.358,10
1627923387.787,10
1627923388.385,10
1627923392.283,11
1627923448.146,12
1627923463.185,13
1627923557.828,15
1627923628.143,16
1627923688.146,17
1627923748.146,18
1627923807.648,19
1627923857.889,20
1627923906.646,21
1627923928.143,22
1627923956.886,22
1627923988.144,23
1627924048.136,24
1627924103.168,25
1627924151.939,26
1627924168.145,27
1627924228.146,28
1627924288.148,29
1627924348.128,30
1627924403.319,31
1627924450.605,32
1627924496.405,33
1627924528.143,34
1627924588.144,35
1627924641.254,36
1627924690.054,37
1627924737.397,38
1627924768.136,39
1627924827.608,40
1627924871.947,41
1627924917.769,42
1627924962.107,43
1627925006.433,44
1627925050.76,45
1627925095.098,46
1627925128.149,47
1627925185.228,48
1627925232.531,49
1627925278.349,50
1627925308.131,50
1627925327.132,51
1627925368.146,52
1627925424.689,53
1627925474.939,54
1627925525.171,55
1627925575.426,56
1627925627.148,57
1627925668.154,58
1627925728.144,59
1627925847.264,61
1627925907.862,62
1627925965.523,63
1627926021.661,64
1627926079.284,65
1627926138.408,66
1627926208.13,67
1627926262.469,68
1627926372.224,69
1627926388.148,70
1627926508.145,71
1627926568.15,72
1627926628.145,73
1627926688.145,74
1627926748.146,75
1627926866.216,77
1627926988.145,78
1627927048.123,79
1627927108.128,80
1627927228.157,81
1627927288.137,82
1627927396.934,83
1627927468.148,84
1627927528.143,85
1627927648.152,86
1627927708.136,87
1627927790.735,88
1627928008.121,89
1627928102.557,90
1627928248.142,91
1627928308.126,92
1627928488.141,93
1627928608.149,94
1627928788.143,95
1627928908.15,96
1627929148.148,97
1627929388.141,98
1627929478.356,98
1627929707.58,97
1627929878.398,96
1627930028.744,95
1627930190.936,94
1627930341.569,93
1627930506.839,92
1627930635.483,91
1627931277.993,91
1627931878.027,90
1627932719.325,90
1627932744.406,89
1627934249.31,88
1627934562.914,87
1627934877.986,87
1627935534.678,86
1627936197.661,85
1627936821.826,84
1627937073.865,83
1627937278.014,82
1627937619.347,81
1627937878.04,80
1627938198.505,79
1627938464.505,78
1627939493.849,77
1627939778.282,77
1627939956.203,75
1627942077.99,75
1627942677.988,74
1627943878.004,74
1627944468.595,73
1627945677.99,73
1627946878.038,72
1627948078.041,71
1627949878.005,71
1627950478.007,70
1627952877.998,69
1627953478.013,69
1627954078.063,68
1627955753.47,67
1627955874.108,66
1627956014.948,65
1627956276.767,64
1627956364.953,63
1627956624.192,62
1627956728.386,61
1627958278.033,60
1627958877.999,59
1627960078.006,59
1627960678.004,58
1627962026.207,57
1627962275.605,56
1627962477.981,55
1627962933.008,54
1627963194.911,53
1627963489.494,52
1627963678.019,51
1627963917.76,50
1627964171.795,49
1627964462.635,48
1627964615.401,47
1627964857.937,46
1627965034.508,45
1627965419.744,44
1627965950.793,43
1627967102.059,42
1627967277.988,41
1627967470.61,40
1627967765.991,39
1627967973.206,38
1627968208.586,37
1627968415.719,36
1627968530.487,35
1627968668.988,34
1627968895.966,33
1627968989.03,32
1627969140.923,31
1627969293.021,30
1627969427.402,29
1627969678.022,28
1627969679.817,27
1627969854.188,25
1627970161.147,23
1627970277.983,22
1627970472.584,21
1627970623.168,20
1627970716.223,19
1627970826.864,18
1627970877.986,17
1627970886.001,16
1627971066.245,16
1627971079.506,15
1627971335.933,14
1627973878.005,13
1627975078.005,13
1627978078.053,12
1627978678.004,12
1627979878.069,11
1627979968.388,10
1627980126.821,9
1627980382.758,8
1627980440.103,7
1627980477.982,6
1627980818.471,5
1627980898.176,4
1627981749.636,4
1627981823.231,4
1627981823.637,4
1627981824.389,4
1627981829.111,5
1627981869.076,6
1627981906.036,7
1627981943.973,8
1627981988.824,9
1627982031.703,10
1627982078.997,11
1627982127.799,12
1627982178.076,13
1627982235.729,14
1627982287.467,15
1627982340.706,16
1627982423.977,17
1627982447.137,18
1627982543.975,19
1627982553.612,20
1627982658.606,22
1627982711.843,23
1627982843.969,24
1627982889.98,25
1627983023.969,26
1627983074.168,27
1627983203.969,29
1627983263.968,30
1627983323.987,31
1627983383.976,32
1627983443.988,33
1627983500.452,34
1627983544.85,35
1627983563.992,36
1627983623.959,37
1627983679.528,38
1627983723.905,39
1627983743.988,40
1627983803.985,41
1627983856.99,42
1627983902.825,43
1627983923.984,44
1627983983.973,45
1627984043.986,46
1627984093.589,47
1627984142.368,48
1627984163.987,49
1627984223.974,50
1627984283.982,51
1627984341.912,52
1627984397.563,53
1627984476.544,52
1627985440.057,51
1627985519.83,50
1627986196.998,49
1627987058.6,48
1627987396.948,47
1627988138.186,46
1627989139.176,45
1627989196.926,44
1627989315.255,43
1627989399.166,43
1627989399.746,43
1627989400.32,43
1627989450.959,44
1627989504.287,45
1627989520.088,46
1627989580.097,47
1627989640.109,48
1627989700.11,49
1627989753.89,50
1627989810.036,51
1627989863.208,52
1627989916.407,53
1627989969.541,54
1627990024.194,55
1627990060.087,56
1627990120.105,57
1627990180.105,58
1627990274.017,59
1627990291.69,59
1627990384.499,58
1627990438.588,57
1627990503.883,56
1627990582.149,55
1627990624.801,54
1627990718.043,53
1627990801.559,52
1627990891.555,51
1627991028.412,50
1627991208.621,49
1627991574.138,48
1627991882.942,47
1627992640.171,47
1627993068.762,46
1627994087.968,45
1627994491.529,45
1627994901.012,44
1627994918.39,44
1627994918.785,44
1627994919.631,44
1627994979.404,46
1627995039.391,47
1627995099.4,48
1627995156.308,49
1627995209.383,50
1627995265.429,51
1627995318.504,52
1627995339.404,53
1627995427.673,54
1627995485.222,55
1627995519.406,56
1627995579.405,57
1627995639.406,58
1627995688.546,58
1627995803.712,57
1627996022.625,56
1627996439.073,55
1627996619.552,54
1627997914.851,53
1627998007.126,52
1627998088.331,51
1627999888.344,51
1628000488.354,50
1628001688.348,49
1628002888.345,48
1628003488.342,48
1628003814.553,47
1628005288.346,46
1628005386.438,45
1628006184.055,44
1628007088.344,44
1628008888.387,43
1628010688.344,42
1628011288.348,42
1628012488.343,42
1628013276.663,41
1628013404.18,40
1628013568.403,39
1628013861.753,38
1628013937.899,38
1628014073.058,37
1628014208.218,36
1628014340.56,35
1628014461.161,34
1628014796.732,32
1628015022.065,30
1628015183.862,29
1628015488.057,27
1628015834.616,25
1628016038.796,23
1628016228.487,22
1628016331.506,20
1628016688.366,19
1628016724.005,18
1628016916.532,16
1628017072.576,15
1628017155.064,14
1628017245.054,13
1628017263.628,13
1628017264.035,13
1628017264.804,13
1628017283.409,14
1628017310.063,15
1628017345.61,16
1628017440.345,18
1628017490.617,19
1628017539.439,20
1628017564.464,20
1628017591.177,21
1628017642.933,22
1628017697.655,23
1628017715.488,23
1628017777.892,22
1628017786.294,22
1628017786.702,22
1628017787.314,22
1628017847.079,23
1628017907.105,25
1628017967.098,26
1628018010.782,27
1628018087.1,28
1628018105.311,29
1628018152.576,30
1628018207.105,31
1628018244.151,32
1628018277.873,32
1628018444.117,30
1628018682.531,29
1628018834.229,28
1628018877.721,27
1628019171.561,26
1628019208.299,25
1628019430.977,24
1628019477.719,23
1628019556.17,23
1628019676.998,22
1628019766.921,21
1628019980.622,20
1628020039.636,19
1628020077.721,18
1628020310.926,17
1628020361.974,16
1628020677.774,15
1628021847.802,14
1628022072.654,13
1628022127.156,12
1628022305.748,11
1628022390.809,11
1628022391.2,11
1628022391.732,11
1628022451.514,13
1628022501.431,14
1628022547.233,15
1628022594.492,16
1628022641.752,17
1628022687.551,18
1628022734.808,19
1628022782.047,20
1628022830.768,21
1628022871.508,22
1628022928.229,23
1628022976.95,24
1628023025.684,25
1628023072.911,26
1628023111.511,27
1628023168.913,28
1628023216.153,29
1628023261.929,30
1628023307.687,31
1628023351.509,32
1628023406.705,33
1628023456.964,34
1628023504.272,35
1628023591.508,36
1628023601.864,37
1628023651.494,38
1628023693.493,39
1628023739.302,40
1628023785.078,41
1628023830.87,42
1628023892.633,43
1628023922.475,44
1628024011.5,46
1628024071.507,47
1628024131.5,48
1628024191.501,49
1628024246.006,51
1628024311.507,52
1628024340.591,53
1628024431.509,54
1628024491.259,55
1628024544.446,56
1628024599.104,57
1628024611.51,58
1628024671.509,59
1628024764.526,60
1628024791.507,61
1628024851.511,62
1628024911.51,63
1628024971.504,64
1628025031.509,65
1628025091.495,66
1628025151.51,67
1628025211.507,68
1628025271.509,69
1628025331.499,70
1628025391.511,71
1628025485.203,72
1628025550.164,73
1628025619.521,74
1628025687.396,75
1628025751.518,76
1628025811.51,77
1628025871.508,78
1628025975.036,79
1628026051.511,80
1628026140.153,81
1628026219.73,82
1628026291.508,83
1628026351.501,84
1628026458.372,85
1628026546.722,86
1628026632.091,87
1628026771.496,88
1628026831.486,88
1628026951.508,89
1628027071.499,90
1628027191.504,91
1628027288.662,92
1628027431.493,93
1628027549.095,94
1628027731.501,95
1628027851.494,96
1628028091.489,97
1628028331.497,98
1628028503.832,98
1628028571.491,99
1628028751.494,100
1628030343.268,100
1628030431.506,100
1628032051.512,100
1628034031.516,100
1628035531.495,100
1628036722.478,100
1628036866.387,99
1628036898.873,98
1628037078.278,97
1628037293.014,96
1628037703.909,94
1628039136.164,94
1628039721.864,93
1628039996.405,92
1628040246.102,91
1628040291.867,90
1628040793.139,89
1628040916.932,88
1628040947.725,87
1628041457.209,86
1628041521.859,85
1628042121.846,84
1628042442.331,83
1628042673.393,82
1628042859.011,81
1628043037.441,80
1628043167.122,79
1628043495.772,78
1628043785.93,77
1628044992.988,77
1628046321.904,76
1628046453.651,76
1628047909.511,75
1628048181.617,74
1628048282.891,73
1628048576.86,73
1628048628.679,72
1628048847.241,71
1628048983.136,70
1628049233.556,69
1628049321.84,68
1628049921.895,67
1628049957.627,67
1628050100.195,66
1628052321.913,65
1628053706.076,64
1628054721.868,63
1628056521.911,62
1628057721.868,62
1628058321.867,61
1628060513.38,60
1628061321.912,59
1628063121.871,58
1628063385.823,58
1628064291.09,56
1628064561.541,56
1628064864.268,54
1628065170.327,53
1628065521.84,52
1628066938.261,51
1628068521.868,51
1628068700.882,50
1628069363.153,49
1628070373.897,49
1628070585.887,48
1628072010.315,47
1628072070.354,46
1628072297.993,45
1628072356.656,44
1628072502.572,43
1628072648.371,42
1628072721.873,41
1628074206.878,40
1628074321.148,39
1628074350.104,38
1628074930.028,37
1628075721.866,37
1628076838.425,36
1628077045.907,35
1628077521.86,34
1628077688.314,34
1628077752.794,33
1628077894.973,32
1628078472.853,31
1628078531.361,30
1628078915.72,29
1628079024.379,28
1628079163.92,27
1628079303.482,26
1628079514.04,25
1628079990.305,24
1628081117.399,23
1628081325.19,23
1628082090.545,22
1628082728.943,21
1628082811.82,20
1628083521.861,19
1628083939.826,18
1628084121.84,17
1628084479.764,16
1628084763.778,16
1628084901.98,15
1628086007.548,14
1628086938.487,14
1628086938.863,14
1628086939.45,14
1628086941.015,15
1628086999.239,16
1628087056.772,17
1628087100.949,18
1628087146.629,19
1628087174.552,20
1628087179.247,20
1628087239.234,21
1628087294.013,22
1628087342.657,23
1628087392.753,24
1628087419.248,25
1628087479.253,26
1628087539.247,27
1628087593.229,28
1628087641.923,29
1628087692.054,30
1628087739.284,31
1628087779.234,32
1628087835.157,33
1628087888.387,34
1628087943.104,35
1628088000.874,36
1628088052.711,37
1628088100.108,38
1628088139.24,39
1628088190.265,40
1628088231.658,41
1628088273.055,42
1628088319.232,43
1628088357.291,44
1628088400.153,45
1628088439.246,46
1628088490.274,47
1628088559.233,48
1628088589.283,49
1628088679.248,50
1628088688.273,51
1628088788.769,53
1628088859.248,54
1628088919.24,55
1628088979.236,56
1628089039.247,57
1628089039.95,58
1628089144.852,59
1628089200.968,60
1628089219.242,61
1628089279.243,62
1628089339.244,63
1628089399.247,64
1628089459.241,65
1628089519.251,66
1628089579.252,67
1628089639.248,68
1628089699.241,69
1628089759.245,70
1628089861.308,71
1628089930.667,72
1628089997.134,73
1628090059.236,74
1628090119.247,75
1628090179.239,76
1628090239.253,77
1628090352.731,78
1628090419.24,79
1628090479.256,80
1628090539.246,80
1628090584.207,81
1628090659.248,82
1628090719.257,83
1628090779.25,84
1628090818.458,84
1628090899.258,85
1628090986.355,86
1628091070.281,87
1628091161.528,88
1628091259.269,89
1628091379.242,90
1628091487.409,90
1628091965.491,89
1628092086.653,88
1628092498.231,87
1628092670.279,86
1628092833.59,85
1628092988.091,84
1628093125.053,83
1628093286.672,82
1628093472.512,81
1628093641.805,80
1628093797.818,79
1628093881.069,78
1628094243.437,78
1628094486.61,78
1628095038.418,77
1628095447.294,76
1628095684.938,75
1628095932.907,74
1628096174.176,73
1628098086.63,73
1628099176.583,72
1628099384.259,71
1628101037.145,70
1628101484.427,70
1628101676.602,70
1628102733.299,69
1628103871.626,68
1628104163.525,67
1628104914.426,66
1628105001.139,66
1628105217.284,66
1628105269.861,65
1628105528.356,64
1628106264.825,63
1628107139.535,62
1628107482.751,61
1628107650.23,60
1628107806.06,59
1628108043.607,58
1628108531.434,58
1628108562.821,57
1628108784.173,56
1628109166.733,54
1628109582.652,53
1628110044.357,52
1628110470.63,51
1628110686.647,50
1628110961.787,49
1628111202.982,48
1628111286.628,47
1628111485.856,46
1628111503.183,46
1628111503.587,46
1628111504.342,46
1628111556.483,48
1628111599.35,49
1628111645.188,50
1628111683.99,51
1628111743.988,52
1628111797.389,53
1628111853.551,54
1628111923.991,55
1628111970.233,56
1628112043.992,57
1628112085.431,58
1628112144.513,59
1628112223.99,60
1628112255.331,61
1628112344.003,62
1628112360.161,63
1628112451.75,65
1628112523.988,66
1628112627.671,67
1628112643.993,68
1628112703.985,69
1628112763.986,70
1628112823.993,71
1628112883.991,72
1628112943.996,73
1628113003.994,74
1628113063.994,75
1628113123.992,76
1628113183.993,77
1628113297.599,78
1628113363.932,79
1628113423.996,80
1628113483.993,81
1628113543.996,82
1628113663.995,83
1628113724.001,84
1628113784.003,85
1628113904.0,86
1628113964.004,87
1628114066.526,88
1628114127.569,89
1628114263.986,90
1628114383.994,91
1628114503.994,92
1628114677.474,93
1628114803.991,94
1628114983.999,95
1628115103.996,96
1628115343.993,97
1628115568.598,98
1628115763.992,99
1628116003.995,100
1628116123.98,100
1628117542.246,100
1628119363.995,100
1628119723.99,100
1628122963.991,100
1628123323.991,100
1628126563.99,100
1628126743.989,100
1628130163.978,100
1628130343.977,100
1628133763.992,100
1628133943.991,100
1628134705.73,100
1628135305.381,99
1628135905.369,98
1628136369.264,97
1628136505.361,96
1628136985.51,95
1628137088.222,94
1628137694.787,94
1628138681.967,93
1628138818.593,92
1628139043.884,91
1628139295.688,90
1628139505.332,89
1628139816.815,88
1628140059.935,87
1628140304.469,86
1628140544.721,85
1628140705.361,84
1628140997.277,83
1628141203.611,82
1628141305.327,82
1628141414.417,81
1628141635.505,80
1628141849.216,79
1628142030.587,78
1628142505.357,77
1628142711.926,77
1628142712.335,77
1628142712.833,77
1628142772.666,78
1628142827.836,79
1628142886.757,80
1628142941.25,81
1628142952.666,82
1628143067.917,83
1628143132.665,84
1628143192.675,85
1628143252.663,86
1628143312.665,87
1628143432.667,88
1628143552.673,89
1628143564.085,89
1628143731.927,88
1628144163.95,87
1628144727.94,86
1628144763.915,86
1628145963.934,85
1628148363.929,85
1628148529.703,85
1628148572.055,84
1628149022.211,83
1628149244.665,82
1628150994.236,81
1628151862.627,81
1628151963.974,80
1628153607.598,79
1628154261.21,78
1628155345.986,78
1628155432.26,77
1628155551.934,77
1628156281.103,76
1628156879.336,75
1628157070.862,74
1628158915.284,74
1628159163.931,74
1628159967.084,73
1628162163.972,72
1628162740.848,72
1628163363.935,71
1628165540.29,70
1628166363.929,70
1628166982.118,70
1628167563.936,69
1628168732.908,68
1628169583.295,67
1628169963.934,67
1628170288.361,66
1628170849.69,66
1628171666.361,65
1628172363.953,64
1628172963.935,63
1628173563.936,62
1628173804.427,62
1628173885.159,61
1628174676.373,61
1628175166.065,60
1628175205.65,59
1628175254.126,58
1628177163.93,58
1628178364.124,57
1628180108.527,56
1628180763.934,56
1628181552.487,55
1628181744.938,54
1628182487.929,53
1628184363.93,53
1628185563.918,52
1628186915.916,51
1628188294.568,51
1628188638.649,50
1628190363.925,49
1628191563.93,49
1628192763.929,49
1628193363.933,48
1628194294.043,47
1628194371.668,46
1628194498.058,45
1628194608.268,44
1628194709.83,43
1628194823.191,42
1628194998.361,41
1628195164.741,41
1628195383.584,40
1628195517.458,39
1628195663.16,38
1628195763.925,38
1628195782.281,37
1628195898.845,36
1628196010.864,35
1628196177.448,34
1628196363.958,33
1628196453.131,32
1628196697.91,30
1628197290.949,29
1628197622.673,28
1628197971.699,27
1628198159.643,26
1628198315.506,25
1628198522.86,24
1628198622.651,23
1628198756.569,23
1628198902.18,22
1628199027.672,21
1628200563.975,20
1628201763.983,19
1628202363.93,19
1628202963.921,18
1628205363.936,17
1628206563.936,17
1628207763.935,16
1628208963.93,16
1628210075.928,16
1628211963.944,15
1628213763.933,15
1628216163.937,14
1628217031.63,14
1628218563.975,13
1628220963.933,13
1628222686.142,12
1628222696.534,12
1628222760.366,11
1628223182.577,10
1628223488.3,9
1628223699.96,8
1628223963.953,7
1628224180.706,6
1628224563.97,5
1628224737.387,5
1628224737.805,5
1628224738.659,5
1628224755.207,6
1628224798.266,7
1628224858.269,8
1628224903.841,9
1628224918.269,10
1628224978.274,11
1628225038.268,12
1628225070.71,13
1628225076.68,13
1628225260.719,11
1628225441.66,10
1628225817.872,9
1628226060.551,8
1628226088.409,8
1628226088.8,8
1628226089.638,8
1628226090.676,9
1628226132.997,10
1628226187.33,11
1628226231.706,12
1628226269.356,13
1628226311.144,14
1628226323.37,14
1628226347.113,15
1628226415.611,16
1628226449.361,17
1628226506.968,18
