time,battery_level
1594051442.592,9
1594051531.283,8
1594051546.288,7
1594051606.329,6
1594051835.574,6
1594051836.772,6
1594051896.056,7
1594051956.818,8
1594052075.933,9
1594052081.63,10
1594052169.507,11
1594052258.925,12
1594052315.919,13
1594052418.285,14
1594052496.255,15
1594052555.924,16
1594052613.402,17
1594052696.626,18
1594052775.305,19
1594052850.992,20
1594052915.928,21
1594052975.911,22
1594052994.067,22
1594052994.614,22
1594053238.522,20
1594053532.863,19
1594055851.353,19
1594056775.992,19
1594056776.637,19
1594056780.797,21
1594056832.428,22
1594056896.374,23
1594056956.365,24
1594057016.364,25
1594057030.295,26
1594057101.227,27
1594057166.221,28
1594057231.222,29
1594057256.374,30
1594057367.167,31
1594057432.213,33
1594057498.8,34
1594057556.378,35
1594057616.354,36
1594057676.364,37
1594057736.363,38
1594057738.297,39
1594057801.886,40
1594057862.554,41
1594057902.528,42
1594057976.357,43
1594058026.053,44
1594058068.101,45
1594058091.873,46
1594058151.049,47
1594058194.284,48
1594058211.722,48
1594058269.463,49
1594058320.517,50
1594058362.564,51
1594058404.607,52
1594058439.592,53
1594058497.277,54
1594058553.496,55
1594058611.262,56
1594058636.363,57
1594058696.358,58
1594058722.236,59
1594058776.958,60
1594058836.148,61
1594058876.347,62
1594058936.347,63
1594058982.587,64
1594059035.521,65
1594059063.946,66
1594059126.081,67
1594059165.63,68
1594059236.365,69
1594059287.936,70
1594059356.387,71
1594059416.364,72
1594059451.592,73
1594059521.179,74
1594059587.72,75
1594059656.354,76
1594059713.914,77
1594059776.377,78
1594059815.684,79
1594059895.542,80
1594059981.435,81
1594060050.486,82
1594060134.489,83
1594060196.378,84
1594060302.508,85
1594060353.857,86
1594060461.644,87
1594060554.334,88
1594060676.362,89
1594060736.382,90
1594060890.179,91
1594061016.067,92
1594061096.444,93
1594061276.478,94
1594061396.349,95
1594061599.293,96
1594061756.36,97
1594061780.181,97
1594061780.661,97
1594061796.728,96
1594061818.693,96
1594062596.91,95
1594062832.948,93
1594063122.657,92
1594063347.526,91
1594063542.59,90
1594063803.605,89
1594064068.36,88
1594064497.525,87
1594064597.087,86
1594064635.836,85
1594064756.115,84
1594064840.722,83
1594064900.756,82
1594065060.718,81
1594065092.4,80
1594065212.536,79
1594065493.148,79
1594065839.953,78
1594065845.496,77
1594065980.536,76
1594066066.967,75
1594066181.216,74
1594066301.33,73
1594066440.712,72
1594066556.363,71
1594066640.585,70
1594066957.992,68
1594067125.849,67
1594067173.488,66
1594067614.875,65
1594067780.617,64
1594067816.871,63
1594068050.197,62
1594068110.164,61
1594068230.233,60
1594068350.257,59
1594068482.434,58
1594068602.521,57
1594068757.067,56
1594068818.873,55
1594068980.538,54
1594069084.571,53
1594069221.26,52
1594069333.314,52
1594069334.093,52
1594069453.844,53
1594069500.887,54
1594069563.891,55
1594069667.993,56
1594069753.666,57
1594069873.662,58
1594069933.665,59
1594070053.657,60
1594070173.663,61
1594070184.95,62
1594070276.956,63
1594070353.755,64
1594070450.642,65
1594070489.687,66
1594070593.661,67
1594070643.665,68
1594070732.819,69
1594070820.412,70
1594070893.68,71
1594070989.607,72
1594071038.378,73
1594071122.776,74
1594071161.741,75
1594071243.313,76
1594071313.655,77
1594071415.406,78
1594071460.168,79
1594071544.518,80
1594071628.87,81
1594071683.957,82
1594071775.944,83
1594071853.656,84
1594071945.568,85
